Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
368 Björnekärrsgatan 2.B               368                                                                 322617,00   6402750,00      57,7317804168      12,0207262922
369 Lotta Svärdsgatan 2.A              369 Fr.Lars Kaggsgatan                                              322554,00   6402933,00      57,7333971292      12,0195347190
370 Lars Kaggsgatan 35.A               370                                                                 322300,00   6402982,00      57,7337362909      12,0152388558
372 Treriksgatan 2                     372 Coop Konsum                                                     322232,00   6402588,00      57,7301751194      12,0143898012
373 Brahegatan 11                      373 Medborgarhuset                                                  322113,00   6402656,00      57,7307000000      12,0124000000
374 Skaragatan 6.D                     374                                                                 322194,00   6402775,00      57,7318375377      12,0136143085
375 Götaholmsgatan 7                   375 Äldreboende Götaholm                                            321945,00   6402572,00      57,7299180013      12,0095890476
376 Nylösegatan 10                     376                                                                 321990,00   6402852,00      57,7324474229      12,0101362458
377 Ryttaregatan 4.D                   377                                                                 321976,00   6402991,00      57,7336887488      12,0097984821
378 Måns Bryntesg.17.A                 378 Måns Bryntessonsgatan 17.A                                      321876,00   6403109,00      57,7347075631      12,0080340248
379 Hornsgatan 1                       379 Systembolaget                                                   322102,00   6402397,00      57,7284103528      12,0123512604
381 Alekärrsgatan 8                    381 ÖoB GAMLESTADEN                                                 321893,00   6404004,00      57,7427426780      12,0076555353
601 Redbergsplatsen Hpl                601 Läge H                                                          321586,00   6401089,00      57,7164727846      12,0046692892
600 Olskrokstorget                     600 Lilla Hökegatan 3                                               321265,00   6400979,00      57,7153585975      11,9993702411
301 Januarigatan 27                    301                                                                 323973,00   6406269,00      57,7638806844      12,0408866165
302 Julaftonsgatan 31                  302 Vändplats                                                       323770,00   6406371,00      57,7647159871      12,0374042651
1805 Backaplan Backa 3                1805 Backavägen 3                                                    318832,00   6401991,00      57,7235000000      11,9578000000
1806 Backaplan Blomsterl.             1806 Östra Magårdsvägen 6                                            319079,00   6402344,00      57,7267000000      11,9617000000
2000 Selma Lagerlöfs Torg             2000 APOTEKET INF LITTERATURGATAN                                    320381,00   6404902,00      57,7501955724      11,9816211205
1204 Mandolingatan 5                  1204                                                                 316068,00   6394823,00      57,6580000000      11,9170000000
1205 Fagottgatan 4                    1205                                                                 316091,00   6394910,00      57,6588000000      11,9173000000
1206 Positivgatan 15                  1206 Äldreboende Altplatsen                                          315940,00   6394985,00      57,6594000000      11,9147000000
300 Aprilgatan Hpl                     300 Läge D                                                          324027,00   6406006,00      57,7615425842      12,0419859860
1210 Gitarrgatan 3                    1210                                                                 315990,00   6395118,00      57,6607000000      11,9154000000
1211 Fiolgatan 4                      1211                                                                 315876,00   6395188,00      57,6612000000      11,9135000000
1212 Fiolgatan 8                      1212                                                                 315768,00   6395074,00      57,6602000000      11,9118000000
1077 Gerdas Gård 1                    1077                                                                 316083,00   6396278,00      57,6711034465      11,9161039903
